ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0051480	regulation of cytosolic calcium ion concentration	15/225	350/18493	2.66966612347028e-05	0.000370015724712981	0.000281298504167763	GPR65/PIK3CG/CCR2/CCL21/CCR4/XCR1/PTPRC/CCR5/CXCR3/CCL19/CD52/P2RY8/GPR18/FPR1/GPR174	15
BP	GO:0002312	B cell activation involved in immune response	7/225	72/18493	2.70644881231225e-05	0.000373247567548734	0.000283755460709564	GAPT/PTPRC/CD28/TLR4/AICDA/DOCK11/CD40LG	7
BP	GO:0001773	myeloid dendritic cell activation	5/225	30/18493	2.83549307061424e-05	0.000385395983641597	0.000292991098674898	CD2/CLEC4D/DCSTAMP/DOCK2/SLAMF1	5
BP	GO:0032743	positive regulation of interleukin-2 production	5/225	30/18493	2.83549307061424e-05	0.000385395983641597	0.000292991098674898	CARD11/CCR2/PTPRC/CD28/CD3E	5
BP	GO:0019932	second-messenger-mediated signaling	17/225	439/18493	2.8362474986611e-05	0.000385395983641597	0.000292991098674898	GPR65/CCR2/TRAT1/VCAM1/CCR4/XCR1/PTPRC/CCR5/PLEK/CXCR3/SELP/P2RY12/CD3E/FPR1/APLP1/PEX5L/RUNDC3A	17
BP	GO:0032637	interleukin-8 production	7/225	73/18493	2.96286596007741e-05	0.000400637289821198	0.000304578056589215	CD2/TLR8/PTPRC/TLR4/FCN1/TLR7/LEP	7
BP	GO:0050921	positive regulation of chemotaxis	9/225	130/18493	3.06490240419894e-05	0.000412422789535896	0.000313537793214424	CCR2/IL16/CCL21/CCR4/IL6/NCKAP1L/RIPOR2/CCL19/P2RY12	9
BP	GO:0001913	T cell mediated cytotoxicity	6/225	50/18493	3.08362817313467e-05	0.000412938033619773	0.000313929499243102	CD1C/IL7R/PTPRC/GZMM/IL12B/CD1E	6
BP	GO:0002283	neutrophil activation involved in immune response	18/225	488/18493	3.12422209375067e-05	0.000416362675186387	0.000316533027919475	CLEC4C/FGL2/CLEC4D/CHIT1/PTPRC/MNDA/CYBB/MMP9/FCN1/NCKAP1L/DOCK2/KRT1/DNASE1L3/LYZ/CR1/FPR1/PRTN3/SLC27A2	18
BP	GO:0030593	neutrophil chemotaxis	8/225	101/18493	3.24393700891169e-05	0.000430248487497762	0.000327089493419351	PIK3CG/CCL21/CCL11/JAML/NCKAP1L/RIPOR2/CCL19/CCL23	8
BP	GO:0002717	positive regulation of natural killer cell mediated immunity	5/225	31/18493	3.34746278768179e-05	0.000439770940637627	0.000334328785280068	CRTAM/SLAMF6/SH2D1A/CD226/IL12B	5
BP	GO:0032620	interleukin-17 production	5/225	31/18493	3.34746278768179e-05	0.000439770940637627	0.000334328785280068	LY9/TLR4/SLAMF6/NCKAP1L/IL12B	5
BP	GO:0030260	entry into host cell	9/225	133/18493	3.67089110621985e-05	0.000473288844020532	0.000359810232296311	CLEC4G/GPR15/CCR5/FCN1/CD209/CR2/SELPLG/CR1/SLAMF1	9
BP	GO:0044409	entry into host	9/225	133/18493	3.67089110621985e-05	0.000473288844020532	0.000359810232296311	CLEC4G/GPR15/CCR5/FCN1/CD209/CR2/SELPLG/CR1/SLAMF1	9
BP	GO:0051806	entry into cell of other organism involved in symbiotic interaction	9/225	133/18493	3.67089110621985e-05	0.000473288844020532	0.000359810232296311	CLEC4G/GPR15/CCR5/FCN1/CD209/CR2/SELPLG/CR1/SLAMF1	9
BP	GO:0051828	entry into other organism involved in symbiotic interaction	9/225	133/18493	3.67089110621985e-05	0.000473288844020532	0.000359810232296311	CLEC4G/GPR15/CCR5/FCN1/CD209/CR2/SELPLG/CR1/SLAMF1	9
BP	GO:0042742	defense response to bacterium	14/225	319/18493	3.83860469361799e-05	0.000492620935680975	0.000374507144084952	MPEG1/JCHAIN/IRF8/IL6/CLEC4D/TNFSF8/TLR4/NLRP3/AICDA/SELP/IL12B/LYZ/DMBT1/SPN	14
BP	GO:0030099	myeloid cell differentiation	16/225	405/18493	3.85695817917049e-05	0.000492695302887585	0.000374563680557813	CLDN18/FLI1/IRF8/IKZF1/TLR4/EVI2B/MMP9/NR4A3/DCSTAMP/CSF1R/NCKAP1L/GAB3/PRKCB/CCL19/IL12B/PRTN3	16
BP	GO:0097530	granulocyte migration	9/225	134/18493	3.89417331375662e-05	0.000495167358978594	0.000376443021445715	PIK3CG/CCL21/CCL11/JAML/NCKAP1L/RIPOR2/CCL19/CCL23/PRTN3	9
BP	GO:0032735	positive regulation of interleukin-12 production	5/225	32/18493	3.92827522512313e-05	0.000497222781919695	0.00037800562368164	IRF8/TLR4/CCL19/IL12B/CD40LG	5
BP	GO:0042119	neutrophil activation	18/225	498/18493	4.06927453437042e-05	0.000512728591330673	0.000389793665923903	CLEC4C/FGL2/CLEC4D/CHIT1/PTPRC/MNDA/CYBB/MMP9/FCN1/NCKAP1L/DOCK2/KRT1/DNASE1L3/LYZ/CR1/FPR1/PRTN3/SLC27A2	18
BP	GO:0001914	regulation of T cell mediated cytotoxicity	5/225	33/18493	4.58415052495166e-05	0.00057498937806181	0.000437126427766288	CD1C/IL7R/PTPRC/IL12B/CD1E	5
BP	GO:0051250	negative regulation of lymphocyte activation	9/225	137/18493	4.63418774610497e-05	0.00057864722667581	0.000439907248350031	CLEC4G/MNDA/PDCD1LG2/BANK1/RIPOR2/LAX1/PLA2G2D/TNFRSF13B/SPN	9
BP	GO:0071887	leukocyte apoptotic process	8/225	107/18493	4.91568697599437e-05	0.00061104413889939	0.000464536479865033	IL7R/CCL21/CD27/IL6/CCR5/NR4A3/CD3G/CCL19	8
BP	GO:0048872	homeostasis of number of cells	12/225	248/18493	5.449400543252e-05	0.000674363317227435	0.00051267386689805	IL7R/CARD11/CCR2/CCR4/IL6/GAPT/IKZF1/NCKAP1L/DOCK11/TNFRSF13B/SIT1/GPR174	12
BP	GO:0002707	negative regulation of lymphocyte mediated immunity	5/225	35/18493	6.14740814127806e-05	0.000757360683005458	0.000575771279477833	IL7R/CLEC4G/PTPRC/CD96/CR1	5
BP	GO:0045576	mast cell activation	6/225	57/18493	6.56022462742349e-05	0.00080464348085035	0.000611717266143541	PIK3CG/CNR2/CD84/NR4A3/CD226/CPLX2	6
BP	GO:0045076	regulation of interleukin-2 biosynthetic process	4/225	19/18493	7.16389410369075e-05	0.000874815614776685	0.000665064502461807	CARD11/PTPRC/CD28/CD3E	4
BP	GO:0042267	natural killer cell mediated cytotoxicity	6/225	58/18493	7.24355140580195e-05	0.000880663355126447	0.000669510153020106	CRTAM/SLAMF6/SH2D1A/CD226/IL12B/LEP	6
BP	GO:0002377	immunoglobulin production	10/225	180/18493	7.33636077233541e-05	0.000888052055061736	0.000675127293321788	IL7R/CARD11/IL6/GAPT/FCRL3/PTPRC/CD28/AICDA/IL33/CD40LG	10
BP	GO:0071674	mononuclear cell migration	7/225	85/18493	7.93430769770891e-05	0.000956256562523874	0.000726978673263764	CCR2/CCL21/IL6/CCL11/JAML/CCL19/CCL23	7
BP	GO:0002823	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	5/225	37/18493	8.09272110509299e-05	0.000971126532611159	0.000738283328885676	IL7R/CLEC4G/PTPRC/IL33/CR1	5
BP	GO:1903708	positive regulation of hemopoiesis	10/225	183/18493	8.42148095135987e-05	0.00100622177574007	0.000764963923077244	IL7R/CD27/PTPRC/EVI2B/NLRP3/DCSTAMP/NCKAP1L/CCL19/IL12B/TESPA1	10
BP	GO:0033630	positive regulation of cell adhesion mediated by integrin	4/225	20/18493	8.86970449410736e-05	0.00104624769607088	0.000795392985317041	CCL21/NCKAP1L/P2RY12/CD3E	4
BP	GO:0042533	tumor necrosis factor biosynthetic process	4/225	20/18493	8.86970449410736e-05	0.00104624769607088	0.000795392985317041	CCR2/CYBB/TLR4/SPN	4
BP	GO:0042534	regulation of tumor necrosis factor biosynthetic process	4/225	20/18493	8.86970449410736e-05	0.00104624769607088	0.000795392985317041	CCR2/CYBB/TLR4/SPN	4
BP	GO:2000106	regulation of leukocyte apoptotic process	7/225	87/18493	9.20224269220639e-05	0.00108087359079645	0.00082171676493297	IL7R/CCL21/CD27/CCR5/NR4A3/CD3G/CCL19	7
BP	GO:0043312	neutrophil degranulation	17/225	485/18493	9.71252384863204e-05	0.00113599646027038	0.000863623039971635	CLEC4C/FGL2/CLEC4D/CHIT1/PTPRC/MNDA/CYBB/MMP9/FCN1/NCKAP1L/DOCK2/KRT1/LYZ/CR1/FPR1/PRTN3/SLC27A2	17
BP	GO:0030168	platelet activation	9/225	152/18493	0.000103659039859155	0.00120732293483016	0.000917847845192521	PIK3CG/IL6/TLR4/PLEK/PRKCB/SELP/P2RY12/FGG/CD40LG	9
BP	GO:0034162	toll-like receptor 9 signaling pathway	4/225	21/18493	0.000108525316565406	0.00125871203982972	0.000956915585835463	TLR8/FCRL3/TLR7/LILRA4	4
BP	GO:0071621	granulocyte chemotaxis	8/225	120/18493	0.000110721818025426	0.00127883699819367	0.000972215261784663	PIK3CG/CCL21/CCL11/JAML/NCKAP1L/RIPOR2/CCL19/CCL23	8
BP	GO:0002637	regulation of immunoglobulin production	6/225	63/18493	0.000115604678872388	0.00132969365076456	0.00101087821403154	IL6/FCRL3/PTPRC/CD28/IL33/CD40LG	6
BP	GO:0002820	negative regulation of adaptive immune response	5/225	40/18493	0.000118594711490224	0.00134731368955288	0.00102427356515716	IL7R/CLEC4G/PTPRC/IL33/CR1	5
BP	GO:0030890	positive regulation of B cell proliferation	5/225	40/18493	0.000118594711490224	0.00134731368955288	0.00102427356515716	CARD11/FCRL3/PTPRC/TLR4/NCKAP1L	5
BP	GO:2000404	regulation of T cell migration	5/225	40/18493	0.000118594711490224	0.00134731368955288	0.00102427356515716	CCR2/CCL21/CD200R1/RIPOR2/SPN	5
BP	GO:0002260	lymphocyte homeostasis	6/225	64/18493	0.000126281785489922	0.00142298011942302	0.00108179775160815	GAPT/NCKAP1L/DOCK11/TNFRSF13B/SIT1/GPR174	6
BP	GO:0002548	monocyte chemotaxis	6/225	64/18493	0.000126281785489922	0.00142298011942302	0.00108179775160815	CCR2/CCL21/IL6/CCL11/CCL19/CCL23	6
BP	GO:0042094	interleukin-2 biosynthetic process	4/225	22/18493	0.000131381535869485	0.00147445189243001	0.00112092833927428	CARD11/PTPRC/CD28/CD3E	4
BP	GO:0032715	negative regulation of interleukin-6 production	5/225	41/18493	0.00013373860060425	0.00149485242288299	0.00113643751447245	TLR4/CD200R1/NCKAP1L/BANK1/SLAMF1	5
BP	GO:0002223	stimulatory C-type lectin receptor signaling pathway	6/225	65/18493	0.000137726098236081	0.00153323993698962	0.00116562100472895	CARD11/CLEC4C/CLEC4D/ICAM3/CD209/CLEC10A	6
BP	GO:0032677	regulation of interleukin-8 production	6/225	66/18493	0.000149976764705279	0.00166294236705213	0.00126422519132618	CD2/TLR8/PTPRC/TLR4/FCN1/TLR7	6
BP	GO:0002573	myeloid leukocyte differentiation	10/225	197/18493	0.000154665362833134	0.00170809715447589	0.00129855339229161	CLDN18/TLR4/EVI2B/MMP9/DCSTAMP/CSF1R/GAB3/CCL19/IL12B/PRTN3	10
BP	GO:0036037	CD8-positive, alpha-beta T cell activation	4/225	23/18493	0.00015752998493356	0.00172598070448945	0.00131214907358847	TNFSF8/NCKAP1L/EOMES/GPR18	4
BP	GO:0090023	positive regulation of neutrophil chemotaxis	4/225	23/18493	0.00015752998493356	0.00172598070448945	0.00131214907358847	CCL21/NCKAP1L/RIPOR2/CCL19	4
BP	GO:0002367	cytokine production involved in immune response	7/225	95/18493	0.000160309634868779	0.00174952089707188	0.00133004512642891	IL6/TLR4/NLRP3/NR4A3/CD226/CD96/IL12B	7
BP	GO:0051489	regulation of filopodium assembly	5/225	43/18493	0.000168427431150789	0.00183090525156858	0.00139191627312231	CCL21/PPP1R16B/RIPOR2/DOCK11/NEURL1	5
BP	GO:0007200	phospholipase C-activating G-protein coupled receptor signaling pathway	7/225	97/18493	0.000182585997442479	0.00197706400355685	0.00150303111381515	GPR65/P2RY12/P2RY8/GPR18/FPR1/GPR174/NTSR2	7
BP	GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	5/225	44/18493	0.000188154421975899	0.00201376084060691	0.00153092929402865	VCAM1/JAML/CD209/CADM3/SELP	5
BP	GO:0033628	regulation of cell adhesion mediated by integrin	5/225	44/18493	0.000188154421975899	0.00201376084060691	0.00153092929402865	PIK3CG/CCL21/NCKAP1L/P2RY12/CD3E	5
BP	GO:0046850	regulation of bone remodeling	5/225	44/18493	0.000188154421975899	0.00201376084060691	0.00153092929402865	CLDN18/IL6/DCSTAMP/CSF1R/LEP	5
BP	GO:0002420	natural killer cell mediated cytotoxicity directed against tumor cell target	3/225	10/18493	0.000200222304029862	0.00210992646323656	0.00160403766210967	CRTAM/CD226/IL12B	3
BP	GO:0002423	natural killer cell mediated immune response to tumor cell	3/225	10/18493	0.000200222304029862	0.00210992646323656	0.00160403766210967	CRTAM/CD226/IL12B	3
BP	GO:0002855	regulation of natural killer cell mediated immune response to tumor cell	3/225	10/18493	0.000200222304029862	0.00210992646323656	0.00160403766210967	CRTAM/CD226/IL12B	3
BP	GO:0002858	regulation of natural killer cell mediated cytotoxicity directed against tumor cell target	3/225	10/18493	0.000200222304029862	0.00210992646323656	0.00160403766210967	CRTAM/CD226/IL12B	3
BP	GO:1903532	positive regulation of secretion by cell	14/225	373/18493	0.000200945377451101	0.00210992646323656	0.00160403766210967	CD2/IL6/TLR8/CRTAM/TLR4/NLRP3/FCN1/CSF1R/BLK/CLEC9A/IL33/CCL19/LEP/FGG	14
BP	GO:0032945	negative regulation of mononuclear cell proliferation	6/225	70/18493	0.000207865153747353	0.00216617370747241	0.00164679872497903	CLEC4G/MNDA/PDCD1LG2/PLA2G2D/TNFRSF13B/SPN	6
BP	GO:0050672	negative regulation of lymphocyte proliferation	6/225	70/18493	0.000207865153747353	0.00216617370747241	0.00164679872497903	CLEC4G/MNDA/PDCD1LG2/PLA2G2D/TNFRSF13B/SPN	6
BP	GO:0002686	negative regulation of leukocyte migration	5/225	45/18493	0.00020959534816843	0.00216790412359286	0.00164811424600627	CCL21/CD200R1/RIPOR2/IL33/GPR18	5
BP	GO:0032653	regulation of interleukin-10 production	5/225	45/18493	0.00020959534816843	0.00216790412359286	0.00164811424600627	CD28/PDCD1LG2/TLR4/IL12B/CD40LG	5
BP	GO:0071624	positive regulation of granulocyte chemotaxis	4/225	25/18493	0.000220789910894927	0.00227520309665702	0.00172968656471001	CCL21/NCKAP1L/RIPOR2/CCL19	4
BP	GO:0032757	positive regulation of interleukin-8 production	5/225	46/18493	0.000232847434611385	0.00239056699534355	0.00181739011341907	CD2/TLR8/TLR4/FCN1/TLR7	5
BP	GO:0002720	positive regulation of cytokine production involved in immune response	5/225	47/18493	0.000258010289665123	0.00261430160879959	0.00198748075522776	IL6/TLR4/NLRP3/NR4A3/CD226	5
BP	GO:0032613	interleukin-10 production	5/225	47/18493	0.000258010289665123	0.00261430160879959	0.00198748075522776	CD28/PDCD1LG2/TLR4/IL12B/CD40LG	5
BP	GO:0001916	positive regulation of T cell mediated cytotoxicity	4/225	26/18493	0.000258457577933658	0.00261430160879959	0.00198748075522776	CD1C/PTPRC/IL12B/CD1E	4
BP	GO:1902624	positive regulation of neutrophil migration	4/225	26/18493	0.000258457577933658	0.00261430160879959	0.00198748075522776	CCL21/NCKAP1L/RIPOR2/CCL19	4
BP	GO:0050920	regulation of chemotaxis	10/225	210/18493	0.000259355318333293	0.00261430160879959	0.00198748075522776	CCR2/IL16/CCL21/CCR4/IL6/NCKAP1L/RIPOR2/CCL19/P2RY12/GPR18	10
BP	GO:0002526	acute inflammatory response	10/225	211/18493	0.000269412186723799	0.00270108046791659	0.00205345298730501	PIK3CG/VCAM1/CD163/IL6/NLRP3/C7/CR2/C1S/DNASE1L3/CR1	10
BP	GO:0002836	positive regulation of response to tumor cell	3/225	11/18493	0.000272836410900665	0.00270108046791659	0.00205345298730501	CRTAM/CD226/IL12B	3
BP	GO:0002839	positive regulation of immune response to tumor cell	3/225	11/18493	0.000272836410900665	0.00270108046791659	0.00205345298730501	CRTAM/CD226/IL12B	3
BP	GO:0002923	regulation of humoral immune response mediated by circulating immunoglobulin	3/225	11/18493	0.000272836410900665	0.00270108046791659	0.00205345298730501	PTPRC/CR1/FCER2	3
BP	GO:0045351	type I interferon biosynthetic process	3/225	11/18493	0.000272836410900665	0.00270108046791659	0.00205345298730501	TLR8/TLR4/TLR7	3
BP	GO:0007599	hemostasis	13/225	339/18493	0.000275564116009286	0.0027183762618425	0.00206660183648845	PIK3CG/FLI1/IL6/TLR4/PLEK/PRKCB/KRT1/SELP/P2RY12/DOCK11/FGG/CD40LG/PRTN3	13
BP	GO:0006909	phagocytosis	13/225	342/18493	0.000299920701568222	0.00293333080538682	0.0022300175713467	WIPF1/IRF8/PTPRC/ICAM3/FCN1/CD3G/NCKAP1L/DOCK2/MSR1/PLD4/LEP/SLAMF1/PRTN3	13
BP	GO:0002825	regulation of T-helper 1 type immune response	4/225	27/18493	0.000300528841533137	0.00293333080538682	0.0022300175713467	CCR2/IL33/CCL19/IL12B	4
BP	GO:0010818	T cell chemotaxis	4/225	27/18493	0.000300528841533137	0.00293333080538682	0.0022300175713467	PIK3CG/CCR2/CCL21/CXCR3	4
BP	GO:0032642	regulation of chemokine production	6/225	75/18493	0.000303531788483881	0.00294192348838223	0.00223655002040754	IL6/TLR4/CSF1R/TLR7/ACKR1/IL33	6
BP	GO:0070664	negative regulation of leukocyte proliferation	6/225	75/18493	0.000303531788483881	0.00294192348838223	0.00223655002040754	CLEC4G/MNDA/PDCD1LG2/PLA2G2D/TNFRSF13B/SPN	6
BP	GO:0032647	regulation of interferon-alpha production	4/225	28/18493	0.000347292568378097	0.00333112456589648	0.0025324338805061	TLR8/TLR4/TLR7/LILRA4	4
BP	GO:0035025	positive regulation of Rho protein signal transduction	4/225	28/18493	0.000347292568378097	0.00333112456589648	0.0025324338805061	GPR65/P2RY8/GPR18/GPR174	4
BP	GO:0090022	regulation of neutrophil chemotaxis	4/225	28/18493	0.000347292568378097	0.00333112456589648	0.0025324338805061	CCL21/NCKAP1L/RIPOR2/CCL19	4
BP	GO:0002718	regulation of cytokine production involved in immune response	6/225	77/18493	0.000350268172335282	0.00334808059901173	0.00254532443199722	IL6/TLR4/NLRP3/NR4A3/CD226/CD96	6
BP	GO:0002221	pattern recognition receptor signaling pathway	9/225	179/18493	0.000353381650101745	0.00336623345045373	0.00255912484537418	TLR8/FCRL3/TLR10/TLR4/FCN1/TLR7/LILRA4/DMBT1/FGG	9
BP	GO:0033623	regulation of integrin activation	3/225	12/18493	0.000360520941832077	0.00338767474833396	0.00257542524727143	PLEK/SELP/P2RY12	3
BP	GO:0036005	response to macrophage colony-stimulating factor	3/225	12/18493	0.000360520941832077	0.00338767474833396	0.00257542524727143	TLR4/DCSTAMP/CSF1R	3
BP	GO:0036006	cellular response to macrophage colony-stimulating factor stimulus	3/225	12/18493	0.000360520941832077	0.00338767474833396	0.00257542524727143	TLR4/DCSTAMP/CSF1R	3
BP	GO:0045078	positive regulation of interferon-gamma biosynthetic process	3/225	12/18493	0.000360520941832077	0.00338767474833396	0.00257542524727143	TLR8/TLR7/IL12B	3
BP	GO:0002688	regulation of leukocyte chemotaxis	7/225	109/18493	0.000374543765286534	0.00350755174788605	0.00266655980833443	CCR2/CCL21/IL6/NCKAP1L/RIPOR2/CCL19/GPR18	7
BP	GO:2000107	negative regulation of leukocyte apoptotic process	5/225	51/18493	0.000379841747381929	0.00354518964223134	0.00269517341222265	IL7R/CCL21/CD27/CCR5/CCL19	5
BP	GO:0050871	positive regulation of B cell activation	8/225	144/18493	0.000386606456018479	0.0035962184432323	0.00273396723754502	CARD11/CD27/IL6/FCRL3/PTPRC/CD28/TLR4/NCKAP1L	8
BP	GO:0001894	tissue homeostasis	10/225	221/18493	0.000389233472527184	0.00360854577205804	0.00274333889103828	CLDN18/CCR2/JCHAIN/IL6/TLR4/DCSTAMP/CSF1R/KRT1/LYZ/COL2A1	10
BP	GO:0032607	interferon-alpha production	4/225	29/18493	0.000399041083106858	0.0036748899746585	0.00279377600412635	TLR8/TLR4/TLR7/LILRA4	4
BP	GO:0050718	positive regulation of interleukin-1 beta secretion	4/225	29/18493	0.000399041083106858	0.0036748899746585	0.00279377600412635	TLR8/TLR4/NLRP3/CCL19	4
BP	GO:0002712	regulation of B cell mediated immunity	5/225	52/18493	0.000416131908975043	0.00380698894943505	0.0028942021253015	PTPRC/CD28/CD226/CR1/FCER2	5
BP	GO:0002889	regulation of immunoglobulin mediated immune response	5/225	52/18493	0.000416131908975043	0.00380698894943505	0.0028942021253015	PTPRC/CD28/CD226/CR1/FCER2	5
BP	GO:0051222	positive regulation of protein transport	14/225	402/18493	0.000428403998342144	0.00390636803751455	0.00296975347881223	CD2/IL6/TLR8/CRTAM/TLR4/NLRP3/FCN1/CSF1R/BLK/CLEC9A/IL33/CCL19/LEP/FGG	14
BP	GO:0051047	positive regulation of secretion	14/225	404/18493	0.000450058552441288	0.00403905836808755	0.00307062916872153	CD2/IL6/TLR8/CRTAM/TLR4/NLRP3/FCN1/CSF1R/BLK/CLEC9A/IL33/CCL19/LEP/FGG	14
BP	GO:0032663	regulation of interleukin-2 production	5/225	53/18493	0.00045497723301317	0.00403905836808755	0.00307062916872153	CARD11/CCR2/PTPRC/CD28/CD3E	5
BP	GO:0032722	positive regulation of chemokine production	5/225	53/18493	0.00045497723301317	0.00403905836808755	0.00307062916872153	IL6/TLR4/CSF1R/TLR7/IL33	5
BP	GO:0001782	B cell homeostasis	4/225	30/18493	0.000456069721937736	0.00403905836808755	0.00307062916872153	GAPT/NCKAP1L/DOCK11/TNFRSF13B	4
BP	GO:0002828	regulation of type 2 immune response	4/225	30/18493	0.000456069721937736	0.00403905836808755	0.00307062916872153	CCR2/IL6/NLRP3/IL33	4
BP	GO:0010543	regulation of platelet activation	4/225	30/18493	0.000456069721937736	0.00403905836808755	0.00307062916872153	TLR4/PLEK/SELP/FGG	4
BP	GO:0032733	positive regulation of interleukin-10 production	4/225	30/18493	0.000456069721937736	0.00403905836808755	0.00307062916872153	CD28/TLR4/IL12B/CD40LG	4
BP	GO:0043372	positive regulation of CD4-positive, alpha-beta T cell differentiation	4/225	30/18493	0.000456069721937736	0.00403905836808755	0.00307062916872153	NLRP3/NCKAP1L/CCL19/IL12B	4
BP	GO:0051491	positive regulation of filopodium assembly	4/225	30/18493	0.000456069721937736	0.00403905836808755	0.00307062916872153	CCL21/RIPOR2/DOCK11/NEURL1	4
BP	GO:0001771	immunological synapse formation	3/225	13/18493	0.000464478423588044	0.00406162205106012	0.00308778284583518	CCL21/DOCK2/CCL19	3
BP	GO:0002430	complement receptor mediated signaling pathway	3/225	13/18493	0.000464478423588044	0.00406162205106012	0.00308778284583518	CR2/CR1/FPR1	3
BP	GO:0045414	regulation of interleukin-8 biosynthetic process	3/225	13/18493	0.000464478423588044	0.00406162205106012	0.00308778284583518	TLR8/TLR4/TLR7	3
BP	GO:0050862	positive regulation of T cell receptor signaling pathway	3/225	13/18493	0.000464478423588044	0.00406162205106012	0.00308778284583518	TRAT1/CD226/TESPA1	3
BP	GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	9/225	186/18493	0.000467588916234968	0.00407596376038784	0.00309868589971005	IL6/PTPRC/CSF1R/BANK1/IL12B/LEP/CD3E/CASS4/NEURL1	9
BP	GO:0002673	regulation of acute inflammatory response	8/225	149/18493	0.000485666662039445	0.00422027582186001	0.00320839682363626	PIK3CG/IL6/NLRP3/C7/CR2/C1S/DNASE1L3/CR1	8
BP	GO:0032602	chemokine production	6/225	82/18493	0.000491910839137547	0.004261177644029	0.0032394917761624	IL6/TLR4/CSF1R/TLR7/ACKR1/IL33	6
BP	GO:0002381	immunoglobulin production involved in immunoglobulin mediated immune response	5/225	54/18493	0.00049649232399845	0.00428746642406138	0.00325947739840923	GAPT/PTPRC/CD28/AICDA/CD40LG	5
BP	GO:0032689	negative regulation of interferon-gamma production	4/225	31/18493	0.000518676402539355	0.00443756477728115	0.00337358725758216	PDCD1LG2/TLR4/CD96/IL33	4
BP	GO:0051482	positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway	4/225	31/18493	0.000518676402539355	0.00443756477728115	0.00337358725758216	GPR65/P2RY8/GPR18/GPR174	4
BP	GO:1902622	regulation of neutrophil migration	4/225	31/18493	0.000518676402539355	0.00443756477728115	0.00337358725758216	CCL21/NCKAP1L/RIPOR2/CCL19	4
BP	GO:0002690	positive regulation of leukocyte chemotaxis	6/225	84/18493	0.000559653986603453	0.00475877561614961	0.00361778263216052	CCR2/CCL21/IL6/NCKAP1L/RIPOR2/CCL19	6
BP	GO:0034103	regulation of tissue remodeling	6/225	84/18493	0.000559653986603453	0.00475877561614961	0.00361778263216052	CLDN18/IL6/DCSTAMP/CSF1R/IL12B/LEP	6
BP	GO:0002834	regulation of response to tumor cell	3/225	14/18493	0.000585861363988996	0.00490636767666917	0.00372998712261399	CRTAM/CD226/IL12B	3
BP	GO:0002837	regulation of immune response to tumor cell	3/225	14/18493	0.000585861363988996	0.00490636767666917	0.00372998712261399	CRTAM/CD226/IL12B	3
BP	GO:0032700	negative regulation of interleukin-17 production	3/225	14/18493	0.000585861363988996	0.00490636767666917	0.00372998712261399	TLR4/NCKAP1L/IL12B	3
BP	GO:0035589	G-protein coupled purinergic nucleotide receptor signaling pathway	3/225	14/18493	0.000585861363988996	0.00490636767666917	0.00372998712261399	P2RY13/P2RY12/P2RY8	3
BP	GO:0042228	interleukin-8 biosynthetic process	3/225	14/18493	0.000585861363988996	0.00490636767666917	0.00372998712261399	TLR8/TLR4/TLR7	3
BP	GO:0030101	natural killer cell activation	6/225	85/18493	0.000596133296195329	0.00497735390678751	0.00378395326247004	CD2/PTPRC/PRDM1/IL12B/IL21R/LEP	6
BP	GO:0001774	microglial cell activation	4/225	33/18493	0.000661825996547351	0.00547636317143062	0.00416331703091217	TLR8/PTPRC/TLR7/IL33	4
BP	GO:0002269	leukocyte activation involved in inflammatory response	4/225	33/18493	0.000661825996547351	0.00547636317143062	0.00416331703091217	TLR8/PTPRC/TLR7/IL33	4
BP	GO:0045730	respiratory burst	4/225	33/18493	0.000661825996547351	0.00547636317143062	0.00416331703091217	PIK3CG/JCHAIN/CYBB/CD52	4
BP	GO:0050829	defense response to Gram-negative bacterium	6/225	87/18493	0.000674609889272663	0.00556553158649947	0.00423110588447328	IL6/TLR4/SELP/IL12B/LYZ/DMBT1	6
BP	GO:0048871	multicellular organismal homeostasis	15/225	471/18493	0.000681272104984	0.00559223521414719	0.00425140688794816	CLDN18/CCR2/JCHAIN/IL6/FABP4/TLR4/NR4A3/DCSTAMP/CSF1R/PM20D1/G0S2/KRT1/LYZ/LEP/COL2A1	15
BP	GO:1903531	negative regulation of secretion by cell	9/225	196/18493	0.000681881494365711	0.00559223521414719	0.00425140688794816	CCR2/TLR8/CD84/NLRP3/CD200R1/BANK1/IL33/P2RY12/LEP	9
BP	GO:0002830	positive regulation of type 2 immune response	3/225	15/18493	0.000725773502094425	0.0059171886700169	0.00449844752691343	IL6/NLRP3/IL33	3
BP	GO:0032740	positive regulation of interleukin-17 production	3/225	15/18493	0.000725773502094425	0.0059171886700169	0.00449844752691343	LY9/SLAMF6/IL12B	3
BP	GO:1903038	negative regulation of leukocyte cell-cell adhesion	7/225	122/18493	0.00073724461373331	0.00599308524712239	0.00455614667909889	CCL21/CLEC4G/PDCD1LG2/RIPOR2/LAX1/PLA2G2D/SPN	7
